Entry	Entry Name	Gene Names	Organism
Q6L8S8	B4GN3_MOUSE	B4galnt3	Mus musculus (Mouse)
Q6P2L7	GOLM2_MOUSE	Golm2 Casc4	Mus musculus (Mouse)
Q6ZWQ7	SPCS3_MOUSE	Spcs3	Mus musculus (Mouse)
Q76EC5	CHST9_MOUSE	Chst9	Mus musculus (Mouse)
Q80UX8	ABHDD_MOUSE	Abhd13	Mus musculus (Mouse)
Q80VP9	ASPH2_MOUSE	Asphd2	Mus musculus (Mouse)
Q810K9	GXLT2_MOUSE	Gxylt2 Glt8d4	Mus musculus (Mouse)
Q8BGI5	PEX26_MOUSE	Pex26	Mus musculus (Mouse)
Q8BHA9	PXYP1_MOUSE	Pxylp1 Acpl2	Mus musculus (Mouse)
Q8BHC9	FUT11_MOUSE	Fut11	Mus musculus (Mouse)
Q8BHM9	TM11F_MOUSE	Tmprss11f Hatl4	Mus musculus (Mouse)
Q8BIG7	CMTD1_MOUSE	Comtd1	Mus musculus (Mouse)
Q8BQT2	DIK1C_MOUSE	Dipk1c Fam69c	Mus musculus (Mouse)
Q8BSL4	HS3S5_MOUSE	Hs3st5 Hs3ost5	Mus musculus (Mouse)
Q8BUB6	UST_MOUSE	Ust	Mus musculus (Mouse)
Q8BZ10	TM11G_MOUSE	Tmprss11g Desc4	Mus musculus (Mouse)
Q8C0Z1	F234A_MOUSE	Fam234a Itfg3	Mus musculus (Mouse)
Q8C850	SCAR3_MOUSE	Scara3	Mus musculus (Mouse)
Q8K4G2	CONA1_MOUSE	Col23a1	Mus musculus (Mouse)
Q8R3I9	B3GN8_MOUSE	B3gnt8 B3galt7	Mus musculus (Mouse)
Q91ZW7	C209E_MOUSE	Cd209e	Mus musculus (Mouse)
Q922Q8	LRC59_MOUSE	Lrrc59	Mus musculus (Mouse)
Q99LL3	CHSTC_MOUSE	Chst12	Mus musculus (Mouse)
Q99ML4	DIK1B_MOUSE	Dipk1b Fam69b Pip49	Mus musculus (Mouse)
Q9D136	OGFD3_MOUSE	Ogfod3	Mus musculus (Mouse)
Q9D306	MGT4C_MOUSE	Mgat4c	Mus musculus (Mouse)
Q9JKV7	EXTL1_MOUSE	Extl1	Mus musculus (Mouse)
Q9JMG2	C1GLC_MOUSE	C1galt1c1 Cosmc	Mus musculus (Mouse)
Q9QZC8	ABHD1_MOUSE	Abhd1 Labh1	Mus musculus (Mouse)
Q2TA57	ASPH1_MOUSE	Asphd1	Mus musculus (Mouse)
Q640P4	GL8D2_MOUSE	Glt8d2	Mus musculus (Mouse)
Q6NSU3	GL8D1_MOUSE	Glt8d1	Mus musculus (Mouse)
Q6NXH2	MANEA_MOUSE	Manea	Mus musculus (Mouse)
Q6P1J0	MANEL_MOUSE	Maneal Gm50	Mus musculus (Mouse)
Q80XD9	CLC2E_MOUSE	Clec2e Clra	Mus musculus (Mouse)
Q8BWY2	CLC1A_MOUSE	Clec1a	Mus musculus (Mouse)
Q8VI16	B3GN9_MOUSE	B3gnt9	Mus musculus (Mouse)
Q8VI21	CLC2F_MOUSE	Clec2f Clrc	Mus musculus (Mouse)
Q9D6I7	DIK1A_MOUSE	Dipk1a Fam69a	Mus musculus (Mouse)
Q9D8U6	MCEM1_MOUSE	Mcemp1	Mus musculus (Mouse)
